ID,Title,Year,IMDb,Rotten Tomatoes,Genres,Language,Runtime
154,Hannah Gadsby: Nanette,2018,8.3,80/100,"Documentary,Comedy",English,69
155,Ali Wong: Hard Knock Wife,2018,7.4,80/100,Comedy,English,64
156,Seven Pounds,2008,7.6,80/100,Drama,"English,Spanish",123
157,Uncut Gems,2019,7.4,80/100,"Crime,Drama,Thriller","English,Hebrew",135
158,The Kindergarten Teacher,2018,6.7,80/100,"Drama,Thriller",English,96
159,Les Mis̩rables,2012,7.6,80/100,"Drama,History,Musical,Romance,War",English,158
160,The Sky Is Pink,2019,7.6,80/100,"Drama,Romance",Hindi,143
161,Next Gen,2018,6.6,80/100,"Animation,Action,Adventure,Comedy,Family,Sci-Fi","English,Mandarin",106
162,Tom Segura: Disgraceful,2018,7.6,80/100,"Documentary,Comedy",English,71
163,My Happy Family,2017,7.4,80/100,Drama,Georgian,120
164,The American Meme,2018,6.6,80/100,Documentary,English,98
165,Badla,2019,7.8,80/100,"Crime,Drama,Mystery,Thriller",Hindi,118
166,Okko's Inn,2018,7.1,80/100,"Animation,Adventure,Drama,Family,Fantasy","Japanese,English",94
167,The Willoughbys,2020,6.4,80/100,"Animation,Adventure,Comedy,Family",English,90
168,Hunt for the Wilderpeople,2016,7.9,80/100,"Adventure,Comedy,Drama",English,101
169,Stardust,2007,7.6,79/100,"Adventure,Family,Fantasy,Romance",English,127
170,Wheelman,2017,6.4,79/100,"Action,Crime,Thriller",English,82
171,The Artist,2011,7.9,79/100,"Comedy,Drama,Romance","English,French",100
172,On My Skin,2018,7.3,79/100,"Biography,Drama",Italian,100
173,Gaga: Five Foot Two,2017,7,79/100,"Documentary,Music",English,100
174,Hugo,2011,7.5,79/100,"Drama,Family,Fantasy,Mystery",English,126
175,The Impossible,2012,7.6,79/100,"Drama,History,Thriller","English,Thai,Swedish",114
176,War Dogs,2016,7.1,79/100,"Biography,Comedy,Crime,Drama,War","English,Arabic,Albanian,Romanian",114
177,Ip Man,2008,8,79/100,"Action,Biography,Drama,History","Cantonese,Mandarin,Japanese",106
178,The Speed Cubers,2020,7.4,79/100,"Documentary,Short,Sport",English,39
179,Kung Fu Panda 2,2011,7.2,79/100,"Animation,Action,Adventure,Comedy,Family,Fantasy",English,90
180,The Dirt,2019,7,79/100,"Biography,Comedy,Drama,Music",English,107
181,Andhadhun,2018,8.2,79/100,"Crime,Drama,Music,Mystery,Thriller","Hindi,English",139
182,Atlantics,2019,6.7,79/100,"Drama,Mystery,Romance","Wolof,French,English,Arabic",106
183,37 Seconds,2019,7.3,79/100,Drama,"Japanese,Thai",115
184,El Camino: A Breaking Bad Movie,2019,7.3,79/100,"Action,Crime,Drama","English,Spanish",122
185,Underworld,2003,7,79/100,"Action,Fantasy,Thriller",English,121
186,The Ring,2002,7.1,79/100,"Horror,Mystery",English,115
187,Hold the Dark,2018,5.6,79/100,"Action,Drama,Thriller",English,125
188,The Karate Kid,1984,7.3,79/100,"Action,Drama,Family,Sport","English,Japanese",126
189,Quincy,2018,7.6,79/100,"Crime,Drama,Mystery,Thriller",English,60
190,The Patriot,2000,7.2,79/100,"Action,Drama,History,War","English,French",165
191,Get In,2019,5.6,79/100,"Drama,Horror,Thriller",French,97
192,ZZ Top: That Little Ol' Band From Texas,2019,7.5,79/100,"Documentary,Biography,Music",English,91
193,Jerry Before Seinfeld,2017,7,79/100,Comedy,English,62
194,Mike Birbiglia: The New One,2019,7.7,78/100,Comedy,English,85
195,A Silent Voice: The Movie,2016,8.2,78/100,"Animation,Drama","Japanese,Japanese Sign Language",130
196,Klaus,2019,8.2,78/100,"Animation,Adventure,Comedy,Family","English,Saami",96
197,Snowden,2016,7.3,78/100,"Biography,Crime,Drama,Thriller","English,American Sign Language,Russian",134
198,"Nick Kroll & John Mulaney: Oh, Hello on Broadway",2017,7.7,78/100,,,
199,What's Eating Gilbert Grape,1993,7.7,78/100,Drama,English,118
200,The Da Vinci Code,2006,6.6,78/100,"Mystery,Thriller","English,French,Latin,Spanish",149
201,Stranger Than Fiction,2006,7.5,78/100,"Comedy,Drama,Fantasy,Romance",English,113
202,Don 2,2011,7.1,78/100,"Action,Crime,Thriller","Hindi,English,German",148
203,Elena,2013,7.6,78/100,"Crime,Drama,Thriller",Russian,109
204,Real Steel,2011,7,78/100,"Action,Drama,Sci-Fi,Sport","English,Ukrainian",127
205,The Founder,2017,7.2,78/100,"Biography,Drama","English,Yiddish",115
206,Stargate,1994,7.1,78/100,"Action,Adventure,Drama,Sci-Fi",English,44
207,Shirkers,2018,7.4,78/100,Documentary,English,97
208,Chef,2014,7.3,78/100,"Adventure,Comedy,Drama","English,Spanish",114
209,Fire in the Blood,2013,7.7,78/100,"Documentary,History","English,Hindi,Manipuri,Xhosa",87
210,Austin Powers: International Man of Mystery,1997,7,78/100,"Adventure,Comedy",English,94
211,Miles Davis: Birth of the Cool,2019,7.4,78/100,Biography,,115
212,Insidious,2010,6.8,78/100,"Horror,Mystery,Thriller",English,103
213,Screwball,2019,7.1,78/100,Documentary,English,105
214,The Old Guard,2020,6.7,78/100,"Action,Adventure,Fantasy,Thriller","English,Arabic,French,Italian",125
215,Rango,2011,7.2,78/100,"Animation,Adventure,Comedy,Family,Western",English,107
216,Before I Wake,2016,6.2,78/100,"Drama,Fantasy,Horror,Thriller",English,97
217,The Disaster Artist,2017,7.4,78/100,"Biography,Comedy,Drama",English,104
218,Fruitvale Station,2013,7.5,77/100,"Biography,Crime,Drama,Romance","English,Spanish",85
219,The Florida Project,2017,7.6,77/100,Drama,"English,Spanish,Portuguese",111
220,Behind the Curve,2018,6.5,77/100,Documentary,English,96
221,Lawless,2012,7.3,77/100,"Crime,Drama",English,116
222,Errementari: The Blacksmith and the Devil,2018,6.4,77/100,"Fantasy,Horror",Basque,98
223,Audrie & Daisy,2016,7.2,77/100,"Documentary,Crime",English,95
224,Quantum of Solace,2008,6.6,77/100,"Action,Adventure,Thriller","English,Spanish,Italian,French,Swiss German,German",106
225,The Master,2012,7.2,77/100,Drama,"English,Filipino",138
226,Layer Cake,2004,7.3,77/100,"Action,Crime,Drama,Thriller","English,Romanian",105
227,Flipped,2010,7.7,77/100,"Comedy,Drama,Romance",English,90
228,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,2018,7.1,77/100,Comedy,English,74
229,Friends with Benefits,2011,6.5,77/100,"Comedy,Romance",English,109
230,Tig,2015,7.4,77/100,Documentary,English,95
231,Roll Red Roll,2019,7.1,77/100,"Documentary,Crime",English,80
232,Enola Holmes,2020,6.6,77/100,"Action,Adventure,Crime,Drama,Mystery",English,123
233,PK,2015,8.1,77/100,"Comedy,Drama,Musical,Sci-Fi",Hindi,153
234,Good Time,2017,7.4,77/100,"Crime,Drama,Thriller",English,102
235,The Next Three Days,2010,7.3,77/100,"Action,Crime,Drama,Romance,Thriller",English,133
236,Miracle in Cell No. 7,2019,8.2,77/100,Drama,Turkish,132
237,Like Stars on Earth,2007,8.4,77/100,"Drama,Family",Hindi,165
238,Trixie Mattel: Moving Parts,2019,7.3,77/100,Documentary,English,91
239,Talaash,2012,7.2,77/100,"Crime,Drama,Mystery,Thriller","Hindi,English,Marathi,Tamil",140
240,Evelyn,2019,7.1,77/100,Drama,English,94
241,I Am Sam,2001,7.6,77/100,Drama,English,132
242,In the Shadow of the Moon,2019,6.2,77/100,"Crime,Mystery,Sci-Fi,Thriller",English,115
243,Neon Genesis Evangelion: The End of Evangelion,1997,8.1,77/100,"Animation,Action,Drama,Fantasy,Sci-Fi",Japanese,87
244,Memoirs of a Geisha,2005,7.3,76/100,"Drama,Romance","English,Japanese",145
245,Mad Max,1979,6.9,76/100,"Action,Adventure,Sci-Fi,Thriller",English,88
246,John Leguizamo's Latin History for Morons,2018,7.5,76/100,Comedy,English,
247,And Breathe Normally,2018,6.9,76/100,Drama,"Icelandic,English",95
248,The Killing of a Sacred Deer,2017,7,76/100,"Drama,Horror,Mystery,Thriller","English,French",121
249,Angels & Demons,2009,6.7,76/100,"Action,Mystery,Thriller","English,Italian,Latin,French,Swiss German,German,Chinese,Spanish,Polish",138
250,Smoke & Mirrors,2016,6.9,76/100,"Biography,Thriller","Spanish,French,English",123
251,Bright,2017,6.3,76/100,"Action,Fantasy,Thriller","English,Spanish",117
252,Yes Man,2008,6.8,76/100,"Comedy,Romance","English,Korean",104
253,Murder Mystery,2019,6,76/100,"Action,Comedy,Crime,Mystery,Romance","English,French,Latin,Spanish",97
254,Pink,2016,8.1,76/100,"Crime,Drama,Thriller",Hindi,136
255,The Photographer of Mauthausen,2018,6.8,76/100,"Biography,Drama,History,Thriller,War","Spanish,German",110
256,Midnight Run,1988,7.5,76/100,"Action,Comedy,Crime,Thriller",English,126
257,Flavors of Youth,2018,6.6,76/100,"Animation,Drama,Romance","Mandarin,English",74
258,13th,2016,8.2,76/100,"Documentary,Crime,History",English,100
259,Ravenous,2017,5.8,76/100,"Adventure,Comedy,Horror","English,Italian,Spanish,Washoe",101
260,Austin Powers: The Spy Who Shagged Me,1999,6.6,76/100,"Action,Adventure,Comedy,Crime","English,German",95
261,The Life of David Gale,2003,7.5,76/100,"Crime,Drama,Thriller","English,Spanish",130
262,Tramps,2016,6.5,76/100,"Adventure,Romance","English,Polish",82
263,The Girl Next Door,2004,6.7,76/100,"Comedy,Drama,Romance",English,109
264,The Two Popes,2019,7.6,76/100,"Comedy,Drama","English,Spanish,Italian,Latin,Portuguese,French,German",125
265,The Wandering Earth,2019,6,76/100,"Action,Adventure,Sci-Fi,Thriller","Mandarin,English,Russian,French,Japanese,Korean,Indonesian,Hindi,German",125
266,Just Another Love Story,2007,7.2,76/100,"Crime,Drama,Thriller",Danish,100
267,Eye for an Eye,2019,6.6,76/100,Thriller,"English,Spanish",98
268,Patton Oswalt: Annihilation,2017,7.2,76/100,Comedy,English,66
269,Joan Didion: The Center Will Not Hold,2017,7.5,76/100,Documentary,English,94
270,Steve Jobs,2015,7.2,76/100,"Biography,Drama",English,122
271,White Fang,2018,7,76/100,"Adventure,Drama",English,107
272,A Monster Calls,2016,7.5,76/100,"Adventure,Drama,Family,Fantasy",English,108
273,Olympus Has Fallen,2013,6.5,76/100,"Action,Thriller","English,Korean",119
274,Talladega Nights: The Ballad of Ricky Bobby,2006,6.6,76/100,"Comedy,Sport","English,French",108
275,The Time Traveler's Wife,2009,7.1,76/100,"Comedy,Drama,Fantasy,Romance,Sci-Fi","English,German",107
276,State of Play,2009,7.1,76/100,"Crime,Drama,Mystery,Thriller","English,Cantonese",127
277,The Outlaw Josey Wales,1976,7.8,76/100,Western,"English,Navajo,Spanish",135
278,The Bank Job,2008,7.2,76/100,"Crime,Drama,Thriller","English,Latin",111
279,Miss Sloane,2016,7.5,76/100,Drama,English,132
280,Unknown,2011,6.8,75/100,"Action,Mystery,Thriller","English,German,Turkish,Arabic",113
281,6 Underground,2019,6.1,75/100,"Action,Thriller","English,Turkmen,Cantonese,Italian,Spanish,Ukrainian,French",128
282,Uncorked,2020,6.3,75/100,Drama,"English,French",104
283,Petta,2019,7.3,75/100,"Action,Drama",Tamil,171
284,Justin Timberlake + The Tennessee Kids,2016,7,75/100,"Documentary,Music",English,90
285,My Fair Lady,1964,7.8,75/100,"Drama,Family,Musical,Romance",English,170
286,"Bikram: Yogi, Guru, Predator",2019,6.7,75/100,"Documentary,Crime",English,86
287,A Futile and Stupid Gesture,2018,6.8,75/100,"Biography,Comedy",English,101
288,The Dig,2021,7.1,75/100,"Biography,Drama,History",English,112
289,Legally Blonde,2001,6.3,75/100,"Comedy,Romance",English,96
290,Legend,2015,5.5,75/100,"Biography,Crime,Drama,Thriller",English,132
291,Notes on Blindness,2016,6.5,75/100,"Documentary,Drama",English,90
292,When We First Met,2018,6.8,75/100,"Comedy,Fantasy,Romance","English,Mandarin",97
293,Best Worst Thing That Ever Could Have Happened...,2016,7.5,75/100,Documentary,English,95
294,Imperial Dreams,2014,6.7,75/100,Drama,English,87
295,Black Mirror: Bandersnatch,2018,7.1,75/100,"Drama,Fantasy,Mystery,Sci-Fi,Thriller",English,90
296,Queen,2013,8.2,75/100,"Adventure,Comedy,Drama","Hindi,English,French,Japanese,Dutch",146
297,Joshua: Teenager vs. Superpower,2017,7.1,75/100,Documentary,"English,Cantonese",79
298,Air Force One,1997,6.5,75/100,"Action,Drama,Thriller","English,Russian",124
299,Shot Caller,2017,7.3,75/100,"Crime,Drama,Thriller",English,121
300,What Dreams May Come,1998,7,75/100,"Drama,Fantasy,Romance",English,113
301,Angel Has Fallen,2019,6.4,75/100,"Action,Thriller",English,121
302,Crimson Peak,2015,6.5,75/100,"Drama,Fantasy,Horror,Mystery,Thriller",English,119
303,Lemony Snicket's A Series of Unfortunate Events,2004,6.8,75/100,"Adventure,Comedy,Drama,Family,Mystery",English,50
304,The Red Sea Diving Resort,2019,6.3,75/100,"Drama,History,Thriller","English,Amharic",129
305,The Angel,2018,6.6,75/100,"Biography,Drama,Thriller","English,Hebrew,Arabic,Italian",114
306,Army of the Dead,2021,5.8,75/100,"Action,Crime,Horror,Sci-Fi,Thriller","English,Spanish,German,French",148
307,Madagascar 3: Europe's Most Wanted,2012,6.8,75/100,"Animation,Adventure,Comedy,Family","English,Spanish",95
308,Icarus,2017,7.9,75/100,"Documentary,Sport","English,Russian",120
309,Collateral Beauty,2016,6.8,75/100,"Drama,Romance",English,97
310,The Danish Girl,2015,7.1,75/100,"Biography,Drama,Romance","English,French,German",119
311,Green Zone,2010,6.8,75/100,"Action,Drama,Thriller,War","English,Arabic",115
312,John Mulaney: New in Town,2012,8.3,75/100,Comedy,English,60
313,Strong Island,2017,6.4,75/100,"Documentary,Crime",English,107
314,The White Tiger,2021,7.1,75/100,"Crime,Drama","Hindi,English",125
